Date,All-groups,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing,"Furnishings, household equipment and services",Health,Transport,Communication,Recreation and culture,Education,Insurance and financial services
01/09/2017,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
01/10/2017,100.2,101.2,101.1,100.8,99.9,98.9,100.0,101.1,98.7,99.9,100.0,99.7
01/11/2017,100.5,102.2,101.4,100.3,100.2,99.1,100.0,102.3,99.0,99.1,100.0,100.1
01/12/2017,101.2,102.5,100.6,99.2,100.4,99.4,99.5,102.8,98.9,104.3,100.1,100.1
01/01/2018,101.0,102.6,101.4,96.9,100.4,98.7,99.5,102.4,98.9,103.4,100.1,100.1
01/02/2018,100.7,102.6,101.8,98.9,100.5,98.5,99.5,102.7,98.0,99.3,102.6,100.2
01/03/2018,101.0,102.3,102.3,98.6,101.0,99.0,101.6,102.9,98.9,98.8,102.7,100.4
01/04/2018,101.6,102.0,102.9,100.5,101.1,99.2,104.1,104.4,98.9,101.2,102.7,100.4
01/05/2018,101.5,101.8,103.5,99.5,101.2,99.2,104.1,105.7,97.1,98.9,102.7,100.6
01/06/2018,101.5,102.2,103.1,98.0,101.2,99.3,103.6,105.3,97.0,99.6,102.7,100.9
01/07/2018,102.1,102.4,103.8,100.3,101.2,99.8,103.6,104.7,97.1,103.5,102.7,100.9
01/08/2018,101.7,102.7,104.4,100.0,101.1,99.9,103.6,105.0,95.6,99.6,103.1,101.0
01/09/2018,102.0,102.4,105.8,98.5,101.5,98.1,103.1,106.8,95.8,101.3,102.8,101.4
01/10/2018,102.5,103.1,108.1,99.3,101.6,98.2,103.1,107.9,95.5,101.6,102.8,101.4
01/11/2018,102.1,103.3,108.4,100.5,101.7,98.5,103.1,104.4,94.8,100.1,102.8,101.5
01/12/2018,102.7,103.7,107.6,98.3,101.8,98.7,102.8,102.7,94.5,106.3,102.8,101.7
01/01/2019,102.2,104.0,108.0,96.2,101.7,97.9,102.8,100.9,94.6,105.0,102.8,101.7
01/02/2019,102.2,105.4,108.3,98.6,101.8,98.2,102.8,102.4,93.5,100.0,105.6,101.6
01/03/2019,102.6,105.7,109.0,99.2,101.8,98.4,104.7,105.0,94.1,98.6,105.6,101.5
01/04/2019,103.4,104.6,109.1,100.4,101.8,99.2,107.0,106.7,94.1,103.6,105.6,101.5
01/05/2019,103.0,104.6,109.7,99.2,101.8,99.0,107.0,107.4,92.9,100.0,105.6,101.5
01/06/2019,102.9,104.4,109.7,99.0,101.6,98.9,106.6,105.9,92.3,101.3,105.6,101.6
01/07/2019,103.7,104.6,110.7,100.6,101.7,99.8,106.6,106.0,92.5,105.3,105.6,101.6
01/08/2019,103.3,105.1,111.0,101.4,101.5,99.7,106.6,106.1,92.0,101.9,105.7,101.8
01/09/2019,103.7,104.8,113.5,100.9,102.0,99.9,106.4,107.0,91.4,102.6,105.7,101.9
01/10/2019,104.3,105.4,115.1,101.8,102.1,99.4,106.4,108.4,92.1,104.0,105.7,101.9
01/11/2019,103.9,106.2,115.0,100.7,102.1,99.9,106.4,107.8,91.2,100.8,105.7,102.1
01/12/2019,105.0,107.2,115.0,99.7,102.1,100.0,106.1,108.0,90.2,108.0,105.8,102.5
01/01/2020,105.0,107.4,116.2,99.1,102.1,99.7,106.1,107.7,90.7,107.3,105.8,102.4
01/02/2020,104.2,107.9,116.9,100.2,102.3,99.9,106.1,106.8,90.2,99.8,108.4,102.6
01/03/2020,104.8,110.2,117.5,100.5,102.4,101.8,107.9,103.4,91.2,100.7,108.5,103.0
01/04/2020,103.5,110.1,118.6,100.2,102.4,90.6,108.3,98.3,91.1,102.2,108.5,102.9
01/05/2020,102.8,109.0,118.6,99.9,101.9,88.6,108.3,98.1,89.5,101.0,107.4,103.1
01/06/2020,102.8,109.3,118.5,99.9,101.7,87.6,107.7,100.7,89.2,100.8,104.5,103.5
01/07/2020,104.5,109.0,119.0,100.7,101.8,100.4,107.7,101.8,89.6,103.9,104.5,103.5
01/08/2020,104.4,109.2,119.3,100.9,101.8,100.1,107.7,101.5,88.9,103.8,104.6,103.6
01/09/2020,104.1,108.4,123.4,99.8,101.7,100.0,107.4,102.9,88.4,99.2,106.7,103.5
01/10/2020,104.8,108.4,125.9,100.3,101.8,103.6,109.4,102.7,88.2,98.7,106.7,103.5
01/11/2020,105.0,109.3,126.4,99.3,102.0,103.7,109.4,102.7,88.7,98.9,107.1,103.7
01/12/2020,105.3,109.8,125.6,98.8,101.1,103.8,108.9,104.6,88.7,101.7,108.0,103.6
01/01/2021,105.4,109.8,126.2,99.9,101.4,102.9,108.9,105.1,88.5,100.9,109.0,103.6
01/02/2021,105.3,109.6,126.3,100.3,101.1,103.3,108.9,106.3,89.0,99.2,108.5,103.6
01/03/2021,105.6,109.2,126.5,99.8,101.0,103.7,111.1,108.8,89.0,98.7,108.5,103.6
01/04/2021,106.1,110.0,126.5,101.6,100.8,104.5,113.4,109.4,89.1,99.9,108.5,103.6
01/05/2021,106.2,110.5,127.2,100.2,101.3,104.5,113.4,109.4,88.5,98.5,108.5,103.8
01/06/2021,106.4,110.3,126.6,99.4,101.9,104.6,112.8,109.9,87.9,99.8,108.5,104.0
01/07/2021,106.7,110.2,126.1,97.2,102.2,105.7,112.8,112.5,88.1,99.7,108.5,103.8
01/08/2021,107.0,110.6,126.2,96.9,103.0,106.0,112.8,112.7,87.6,99.9,108.5,104.1
01/09/2021,107.3,109.8,126.3,95.8,103.7,106.5,112.7,114.1,88.1,101.2,108.6,104.6
01/10/2021,107.9,109.9,127.3,100.0,103.9,106.6,112.9,116.0,87.8,101.7,108.6,104.6
01/11/2021,108.4,111.0,127.2,99.1,104.9,107.1,112.9,116.8,88.3,100.8,108.6,104.7
01/12/2021,109.0,111.8,127.1,98.2,106.1,107.7,112.5,116.1,87.8,103.4,108.6,105.9
01/01/2022,109.6,113.0,127.7,97.6,106.8,107.7,112.5,117.7,88.0,104.0,108.6,105.8
01/02/2022,110.5,114.4,128.8,98.5,107.8,108.6,112.5,120.5,88.3,101.2,113.4,106.1
01/03/2022,111.6,114.7,129.1,99.1,108.6,108.3,115.0,125.9,88.3,102.1,113.5,106.4
01/04/2022,111.9,115.2,129.4,102.2,109.6,110.8,115.8,119.6,88.6,104.6,113.5,106.3
01/05/2022,112.7,116.4,129.6,102.6,110.2,111.5,115.8,124.6,88.5,102.8,113.5,106.4
01/06/2022,113.6,117.3,129.5,101.1,111.5,111.3,115.5,128.0,88.0,104.4,113.5,107.6
01/07/2022,114.4,118.7,129.7,101.4,113.0,113.6,115.5,126.4,88.9,105.5,113.5,107.6
01/08/2022,114.7,121.1,131.4,101.3,113.9,114.3,115.5,122.3,89.3,104.0,113.5,108.0
01/09/2022,115.0,120.3,132.1,102.6,114.2,114.7,115.8,121.7,89.9,106.6,113.5,109.0
01/10/2022,115.4,119.7,132.8,105.7,115.8,114.9,115.8,124.4,89.5,104.0,113.5,109.0
01/11/2022,116.4,121.4,132.7,103.2,116.0,116.1,117.0,127.1,88.9,106.6,113.6,109.7
01/12/2022,118.2,122.4,132.4,104.4,117.2,116.9,117.2,124.5,89.1,118.3,113.6,111.2
01/01/2023,117.8,122.3,132.8,100.6,118.2,115.0,118.1,124.9,89.1,114.6,113.6,111.2
01/02/2023,118.0,123.5,134.4,102.1,118.5,115.8,118.1,127.2,89.4,107.7,119.8,112.0
01/03/2023,118.6,124.0,135.4,102.3,118.8,116.1,121.2,126.9,89.4,108.3,119.7,113.4
01/04/2023,119.4,124.3,135.6,104.2,119.2,117.8,121.3,128.1,88.8,111.3,119.7,113.4
01/05/2023,118.9,125.6,135.7,102.2,119.4,118.2,121.3,125.6,89.5,106.4,119.7,114.7
01/06/2023,119.7,125.5,135.5,100.4,119.7,118.3,121.5,126.9,88.5,111.5,119.4,116.7
01/07/2023,120.0,125.3,135.5,102.9,121.3,118.5,121.5,126.8,89.2,109.8,119.4,116.7
01/08/2023,120.7,126.4,137.2,102.8,121.4,118.9,121.5,131.4,90.7,108.1,119.7,117.5