Date,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing,"Furnishings, household equipment and services",Health,Transport,Communication,Recreation and culture,Education,Insurance and financial services
01/10/2022,17.18,7.87,3.37,22.24,8.94,6.25,10.99,2.31,10.84,4.43,5.56
01/11/2022,17.18,7.87,3.37,22.24,8.94,6.25,10.99,2.31,10.84,4.43,5.56
01/12/2022,17.18,7.87,3.37,22.24,8.94,6.25,10.99,2.31,10.84,4.43,5.56
01/01/2023,17.18,7.87,3.37,22.24,8.94,6.25,10.99,2.31,10.84,4.43,5.56
01/02/2023,17.18,7.87,3.37,22.24,8.94,6.25,10.99,2.31,10.84,4.43,5.56
01/03/2023,17.18,7.87,3.37,22.24,8.94,6.25,10.99,2.31,10.84,4.43,5.56
01/04/2023,17.18,7.87,3.37,22.24,8.94,6.25,10.99,2.31,10.84,4.43,5.56
01/05/2023,17.18,7.87,3.37,22.24,8.94,6.25,10.99,2.31,10.84,4.43,5.56
01/06/2023,17.18,7.87,3.37,22.24,8.94,6.25,10.99,2.31,10.84,4.43,5.56
01/07/2023,17.04,7.74,3.22,22.18,8.77,6.22,10.69,2.18,11.87,4.43,5.66
01/08/2023,17.04,7.74,3.22,22.18,8.77,6.22,10.69,2.18,11.87,4.43,5.66
01/09/2023,17.04,7.74,3.22,22.18,8.77,6.22,10.69,2.18,11.87,4.43,5.66